Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,D,sort,O3,d/sortgdcO3,10-4.in,10,0.0
XPSR,D,sort,O0,d/sortgdcO0,100-3.in,100,0.0
XPSR,CPP,STL,O3,cpp/stl_sortO3,10-1.in,10,0.0
XPSR,D,sort,O1,d/sortgdcO1,100-1.in,100,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-1.in,100000,7.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-3.in,100000,28.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-3.in,1000000,74.0
XPSR,Python,quicksort,,python/quicksort.py,10-3.in,10,0.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000-4.in,1000,0.0
XPSR,D,sort,O1,d/sortgdcO1,1000000-5.in,1000000,80.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000-2.in,1000,0.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-5.in,10000,1.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000000-2.in,10000000,4172.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,100-4.in,100,0.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100-5.in,100,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,1000000-4.in,1000000,70.0
XPSR,D,sort,O0,d/sortgdcO0,100000-3.in,100000,18.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,10-5.in,10,0.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-5.in,1000000,75.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,100000-4.in,100000,6.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000000-1.in,1000000,94.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,100000-2.in,100000,6.0
XPSR,D,sort,O0,d/sortgdcO0,1000-5.in,1000,0.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-2.in,100,0.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10-4.in,10,0.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000-1.in,1000,0.0
XPSR,D,sort,O2,d/sortgdcO2,100000-5.in,100000,6.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000000-1.in,1000000,358.0
